ORDEN,Nombre de la empresa extranjera,Empresa,Nombre limpio viejo,Nombre del agente/representante cubano, , .1,Tipo,Objeto de la resolución,País casa matriz del agente,País casa matriz,Representante en Cuba,Perfil,"Prohibición de importar exportar, mayorismo y distribución mercancías ",Objeto,Anexo 1,Tipo de trámite,Resultado,Causa de denegación,Fecha de la resolución,Firmante nombre,Firmante cargo,Código resolución,No. de Resolución,Fecha Gaceta,Código gaceta,Link sitio gaceta,Link Drive PI,Objetos
1039.0,"EUROTRADE WORLD COMMERCE, S.L.","EUROTRADE WORLD COMMERCE, S.L.","EUROTRADE WORLD COMMERCE, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2017-03-31 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-419-O19,103/2017,2017-06-19 00:00:00,GOC-2017-O-19,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-o19.pdf,https://drive.google.com/file/d/1POzLcYIGEfx_Bizn8X3peLp-YOGQwwNt/view?usp=sharing,"['4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95']"
1672.0,"EUROTRADE WORLD COMMERCE, S.L.","EUROTRADE WORLD COMMERCE, S.L.","EUROTRADE WORLD COMMERCE, S.L.",,,,Compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de las actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2014-05-15 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,154 de 2014,2014-06-02 00:00:00,GOC-2014-O-24,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_024_2014.pdf,https://drive.google.com/file/d/1TygscvSWK4AnX0k3TR9I78wYZqUZV-Qz/view?usp=sharing,"['4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95']"
2350.0,"EUROTRADE WORLD COMMERCE, S.L.","EUROTRADE WORLD COMMERCE, S.L.","EUROTRADE WORLD COMMERCE, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2011-07-15 00:00:00,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,295 de 2011,2011-08-04 00:00:00,GOC-2011-O-26,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_026_2011.pdf,https://drive.google.com/file/d/1_sZTH3YLpdkhvUGHhQ-htVWk5N1dZaIq/view?usp=sharing,"['4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95', '4', '8', '12', '13', '15', '17', '18', '21', '25', '27', '28', '29', '30', '31', '32', '33', '34', '35', '38', '39', '40', '48', '56', '69', '70', '74', '76', '83', '84', '85', '87', '90', '91', '94', '95']"
6.0,"MIESA INGENIERÍA, S.A.","MIESA INGENIERÍA, S.A.","MIESA INGENIERÍA, S.A.",,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2020-12-11 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-81-O6,403/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,"['82', '83', '84', '85', '90', '82', '83', '84', '85', '90']"
612.0,"MIESA INGENIERÍA, S.A.","MIESA INGENIERÍA, S.A.","MIESA INGENIERÍA, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2017-09-04 00:00:00,Antonio Luis Carricarte Corona,Ministro a. i. del comercio Exterior y la Inverción Extranjera,GOC-2018-6-O1,245/2017,2018-01-04 00:00:00,GOC-2018-O-1,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o1_0.rar,https://drive.google.com/file/d/1_jmnDu1wjrWAwNX7gJd_qJ15FR_JEb43/view?usp=sharing,"['82', '83', '84', '85', '90', '82', '83', '84', '85', '90']"
7.0,"ITAL RECAMBIOS, S.A.","ITAL RECAMBIOS, S.A.","ITAL RECAMBIOS, S.A.",,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2020-12-11 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-82-O6,404/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,"['27', '35', '38', '39', '40', '70', '82', '83', '84', '87', '91', '85', '90', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94']"
1126.0,"ITAL RECAMBIOS, S.A.","ITAL RECAMBIOS, S.A.","ITAL RECAMBIOS, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relaciona- das con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2017-08-03 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-820-O42,224/2017,2017-12-04 00:00:00,GOC-2017-O-42,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-o42.pdf,https://drive.google.com/file/d/1SATbzWYr_5B-UxiH0qqswmthueZ1WFLw/view?usp=sharing,"['27', '35', '38', '39', '40', '70', '82', '83', '84', '87', '91', '85', '90', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94']"
1727.0,"ITAL RECAMBIOS, S.A.","ITAL RECAMBIOS, S.A.","ITAL RECAMBIOS, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2014-09-18 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,251 de 2014,2014-10-24 00:00:00,GOC-2014-O-50,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_50_2014.pdf,https://drive.google.com/file/d/1VUkhsv5k5OPmKnnxWLDZ3b-vbyL4OUXl/view?usp=sharing,"['27', '35', '38', '39', '40', '70', '82', '83', '84', '87', '91', '85', '90', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94']"
2357.0,"ITAL RECAMBIOS, S.A.","ITAL RECAMBIOS, S.A.","ITAL RECAMBIOS, S.A.",,,,Sucursal de entidad,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2011-08-22 00:00:00,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,320 de 2011,2011-09-27 00:00:00,GOC-2011-O-31,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_031_2011.pdf,https://drive.google.com/file/d/1lnNXJcvvrjQuqhMeoVJfPzRXoyYKtpyG/view?usp=sharing,"['27', '35', '38', '39', '40', '70', '82', '83', '84', '87', '91', '85', '90', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94', '27', '35', '38', '39', '40', '70', '82', '83', '84', '85', '87', '90', '91', '94']"
8.0,"COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGÍAS APLICADAS, S.L.","COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGÍAS APLICADAS, S.L. (CESYTA)","COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGÍAS APLICADAS, S.L.",,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2020-12-11 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-83-O6,405/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,
1120.0,"COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGÍAS APLICADAS, S.L.","COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGÍAS APLICADAS, S.L. (CESYTA)","COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGÍAS APLICADAS, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2017-07-14 00:00:00,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-809-O41,212/2017,2017-12-04 00:00:00,GOC-2017-O-41,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-41.pdf,https://drive.google.com/file/d/13ypIQXW9udv64-VxPBGFByJ0DglNl5yD/view?usp=sharing,
2137.0,"COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGIAS APLICADAS, S.L. (CESYTA).","COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGÍAS APLICADAS, S.L. (CESYTA)","COMPAÑÍA DE ESTUDIOS, SERVICIOS Y TECNOLOGIAS APLICADAS, S.L. (CESYTA).",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que a nivel de Capítulos se describen en el Anexo No 1, que forma parte integrante de la presente Resolución.",Sí,Inscripción,Aprobado,N.A.,2012-09-17 00:00:00,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,264 de 2012,2012-10-03 00:00:00,GOC-2012-O-42,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_042_2012.pdf,https://drive.google.com/file/d/17470sGnR_153epHrOrdpbaXjlU8EotuB/view?usp=sharing,
9.0,"LAS PAILAS DE CEMENTO, S.A.","LAS PAILAS DE CEMENTO, S.A.","LAS PAILAS DE CEMENTO, S.A.",,https://opencorporates.com/companies?utf8=%E2%9C%93&q=,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Actuar como oficina de representación del socio extranjero en la empresa mixta Cementos Cienfuegos, S.A.",No,Renovación,Aprobado,N.A.,2020-12-14 00:00:00,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-84-O6,408/2020,2021-01-18 00:00:00,GOC-2021-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o6.pdf,https://drive.google.com/file/d/1YS8-0jIo1b_EnuExnBXJQYwF7C9jyRiO/view?usp=sharing,
