ORDEN,Nombre de la empresa extranjera,Nombre limpio definitivo,Nombre limpio viejo,Nombre del agente/representante cubano,,,Tipo,Objeto de la resolución,País casa matriz del agente,País casa matriz,Representante en Cuba,Perfil,"Prohibición de importar exportar, mayorismo y distribución mercancías ",Objeto,Anexo 1,Tipo de trámite,Resultado,Causa de denegación,Fecha de la resolución,Firmante nombre,Firmante cargo,Código resolución,No. de Resolución,Fecha Gaceta,Código gaceta,Link sitio gaceta,Link Drive PI
315,"A.E.E ZARUBEZHTVETMET, S.A.","A.E.E. ZARUBEZHTSVETMET, S.A.","A.E.E ZARUBEZHTVETMET, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Rusia,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,7/10/2021,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2020-646-O72,345 de 2020,21/10/2020,GOC-2020-O-72,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2020-o72.pdf,https://drive.google.com/file/d/11ClabxuOhPlmyzcywSM2cmvWYTQXvETU/view?usp=sharing
1111,"A.E.E. ZARUBEZHTSVETMET, S.A.","A.E.E. ZARUBEZHTSVETMET, S.A.","A.E.E ZARUBEZHTVETMET, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Rusia,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,7/7/2017,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-769-O39,202/2017,30/11/2017,GOC-2017-O-39,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-_o39.pdf,https://drive.google.com/file/d/1cHdgi43VeFN4Lnri4paVgAF2NYZESkSv/view?usp=sharing
1700,A.E.E ZARUBEZHTSVETMET S.A.,"A.E.E. ZARUBEZHTSVETMET, S.A.","A.E.E ZARUBEZHTVETMET, S.A.",,,,Compañía,Respuesta a solicitud de inscripción,,Rusia,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que a nivel de capítulos se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,3/7/2014,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,191 de 2014,7/8/2014,GOC-2014-O-34,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_34_2014.pdf,https://drive.google.com/file/d/130-ucaBjospzARKl2ZqxbCiLq2_R4blr/view?usp=sharing
2089,"A.M. ELETTRONICA, S.R.L.","A.M. ELETTRONICA, S.R.L.","A.M. ELETTRONICA, S.R.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Italia,,,Sí,Realización de actividades comerciales relacionadas con las mercancías que a nivel de Capítulos se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.,Sí,Inscripción,Aprobado,N.A.,23/5/2012,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,154 de 2012,21/6/2012,GOC-2012-O-20,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_020_2012.pdf,https://drive.google.com/file/d/1Dt98-qS-JsxCENNvCitMFGiUlrpoQ9Q8/view?usp=sharing
171,AAD TRADING GMBH,AAD TRADING GMBH,AAD TRADING GMBH,,,,Oficina de representación de compañía,Respuesta a solicitud de inscripción,,Alemania,,,Sí,"Comercialización de productos diversos, equipamiento e insumos para el sector de la industria.",No,Inscripción,Aprobado,N.A.,25/11/2021,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2021-1084-O141,291/2021,8/12/2021,GOC-2021-O-141,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2021-o141_0.pdf,https://drive.google.com/file/d/1uEgeUyCqDzaW5ufWf9RMTkRIePeWxr5o/view?usp=sharing
843,AAD TRADING GMBH,AAD TRADING GMBH,AAD TRADING GMBH,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Alemania,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,7/8/2018,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2018-1033-O53,232/2018,17/12/2018,GOC-2018-O-53,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o53.pdf,https://drive.google.com/file/d/17eiOTRp7U7879jpRpGAu9ZiCqes0s71G/view?usp=sharing
1505,AAD TRADING GMBH,AAD TRADING GMBH,AAD TRADING GMBH,,,,Compañía,Respuesta a solicitud de inscripción,,Alemania,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en documento anexo.",Sí,Renovación,Aprobado,N.A.,20/8/2015,Antonio Luis Carricarte Corona,Ministros a.i. MINCEX,N.A.,258/2015,21/9/2015,GOC-2015-O-39,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_39_2015.pdf,https://drive.google.com/file/d/1aG99nH26ImpLH1nKjMLQn4YwYkKSqBKu/view?usp=sharing
2115,AAD TRADING GMBH,AAD TRADING GMBH,AAD TRADING GMBH,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Alemania,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,7/8/2012,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,217 de 2012,20/8/2012,GOC-2012-O-33,https://www.gacetaoficial.gob.cu/sites/default/files/ord._no._33.pdf,https://drive.google.com/file/d/1n_zChVeipfrZPRtQzqRV7JSYHPAWTRWA/view?usp=sharing
2096,AB SANDVIK INTERNATIONAL,AB SANDVIK INTERNATIONAL,AB SANDVIK INTERNATIONAL,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Suecia,,,Sí,Realización de actividades comerciales relacionadas con las mercancías que a nivel de Capítulos se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.,Sí,Renovación,Aprobado,N.A.,15/5/2012,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,161 de 2012,16/7/2012,GOC-2012-O-26,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_026_2012.pdf,https://drive.google.com/file/d/1lj8KkeSmT1Y0_XetbJJZByG4iWUqFSy8/view?usp=sharing
580,"ABANICOS FOLGADO, S.L.","ABANICOS FOLGADO, S.L.","ABANICOS FOLGADO, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,2/12/2019,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2019-1117-O101,338 de 2019,23/12/2019,GOC-2019-O-101,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2019-o101.pdf,https://drive.google.com/file/d/1Atcyu_POrUxIIfzhqt0euq_XVHqpYlH4/view?usp=sharing
924,"ABANICOS FOLGADO, S.L.","ABANICOS FOLGADO, S.L.","ABANICOS FOLGADO, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,11/11/2016,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-31-O1,314/2016,30/1/2017,GOC-2017-O-1,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-o1.pdf,https://drive.google.com/file/d/1uIoq-9v7dSacGQYMVY2bm5hv9kaLD_p8/view?usp=sharing
1968,"ABANICOS FOLGADO, S.L.","ABANICOS FOLGADO, S.L.","ABANICOS FOLGADO, S.L.",,,,Compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de las actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,5/11/2013,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,384 de 2013,27/11/2013,GOC-2013-O-60,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_060_2013.pdf,https://drive.google.com/file/d/10lZMWtIq3xjbfcfsKvSrFbrJKZu710Xc/view?usp=sharing
1594,"ABASTECEDORA INDUSTRIAL GARVA, S.A. DE C.V.","ABASTECEDORA INDUSTRIAL GARVA, S.A. DE C.V.","ABASTECEDORA INDUSTRIAL GARVA, S.A. DE C.V.",,,,Compañía,Respuesta a solicitud de inscripción,,México,,,,,,Renovación,Cancelación definitiva,"Del análisis de la citada solicitud, así como de los demás documentos que obran en el expediente de la mencionada sucursal se ha concluido que han variado las condiciones e intereses que justificaron el otorgamiento de la Licencia que le fuera concedida a la referida compañía.",7/2/2014,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,29 de 2014,3/3/2014,GOC-2014-O-9,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_009_2014.pdf,https://drive.google.com/file/d/1QsKW5Z7TXTYzw-6FA-uCyrf9b4yRV4CS/view?usp=sharing
838,"ABC AEROLÍNEAS, S.A. DE C.V.","ABC AEROLÍNEAS, S.A. DE C.V.","ABC AEROLÍNEAS, S.A. DE C.V.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,México,,,Sí,"Realización de servicios de transportación aérea de pasajeros, carga, paquetería y correo.",No,Inscripción,Aprobado,N.A.,16/7/2018,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2018-1020-O52,223/2018,17/12/2018,GOC-2018-O-52,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o52.pdf,https://drive.google.com/file/d/1lS9Ba6QlIXAwfXLbeQRDc3daiTzgx_FC/view?usp=sharing
279,"ABENSA, S.A.","ABENSA, S.A.","ABENSA, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,3/4/2020,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2020-346-O30,136/2020,27/4/2020,GOC-2020-O-30,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2020-o30_0_0.pdf,https://drive.google.com/file/d/1dTQ0a5Moi5yxpPeOozv3Mg3p8JvTAD4r/view?usp=sharing
1064,"ABENSA, S.A.","ABENSA, S.A.","ABENSA, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de las actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,26/4/2017,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-560-O27,136/2017,3/10/2017,GOC-2017-O-27,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-o27.pdf,https://drive.google.com/file/d/14Y19rz8PUI2vDw61z2vQx7HEHj4lDQgj/view?usp=sharing
1670,"ABENSA, S.A.","ABENSA, S.A.","ABENSA, S.A.",,,,Compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de las actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,15/5/2014,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,152 de 2014,2/6/2014,GOC-2014-O-24,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_024_2014.pdf,https://drive.google.com/file/d/1TygscvSWK4AnX0k3TR9I78wYZqUZV-Qz/view?usp=sharing
2312,"ABENSA, S.A.","ABENSA, S.A.","ABENSA, S.A.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos, se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,12/5/2011,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,201 de 2011,7/6/2011,GOC-2011-O-16,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_016_2011.pdf,https://drive.google.com/file/d/1anW66I2RkPL8DEBo-LL3pdFZJNUyjr0i/view?usp=sharing
249,"ABRASIVOS MENDIOLA, S.L.","ABRASIVOS MENDIOLA, S.L.","ABRASIVOS MENDIOLA, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo I que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,23/3/2020,Rodrigo Malmierca Díaz,Ministro del MINCEX,GOC-2020-268-O25,107 de 2020,2/4/2020,GOC-2020-O-25,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2020-o25_0.pdf,https://drive.google.com/file/d/14JeSJYuJV2EG1qRkmrab65DEGZ5hBTQ6/view?usp=sharing
1040,"ABRASIVOS MENDIOLA, S.L.","ABRASIVOS MENDIOLA, S.L.","ABRASIVOS MENDIOLA, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Renovación,Aprobado,N.A.,31/3/2017,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-420-O19,104/2017,19/6/2017,GOC-2017-O-19,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-o19.pdf,https://drive.google.com/file/d/1POzLcYIGEfx_Bizn8X3peLp-YOGQwwNt/view?usp=sharing
2011,"ABRASIVOS MENDIOLA, S.L.","ABRASIVOS MENDIOLA, S.L.","ABRASIVOS MENDIOLA, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de Capítulos se describen en el Anexo No 1 que forma parte integrante de la presente Resolución.",Sí,Inscripción,Aprobado,N.A.,31/1/2012,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,18 de 2012,10/2/2012,GOC-2012-O-3,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_003_2012.pdf,https://drive.google.com/file/d/1fL27K9nwUU3QMuaHmQJ6AQ0TBXmAIJEA/view?usp=sharing
1629,ACANDO SHIPPING CO. LTD.,"ACANDO SHIPPING CO., LTD.",ACANDO SHIPPING CO. LTD.,,,,Sucursal de entidad,Respuesta a solicitud de inscripción,,Islas Vírgenes Británicas,,,Sí,"Realización de actividades de servicios de agencia de fletamento de buques y servicios de operación de medios de transporte, exclusivamente para la operación de buques de travesía internacional.",No,Renovación,Aprobado,N.A.,24/3/2014,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,90 de 2014,24/4/2014,GOC-2014-O-16,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_016_2014.pdf,https://drive.google.com/file/d/1Aao5eAOmoMHrg9LQgMTtbOXLaIzMWwaW/view?usp=sharing
2268,ACANDO SHIPPING CO. LTD.,"ACANDO SHIPPING CO., LTD.",ACANDO SHIPPING CO. LTD.,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Islas Vírgenes Británicas,,,Sí,"Realización de actividades de servicios de agencia de fletamento de buques y servicios de operación de medios de transporte, exclusivamente para la operación de buques de travesía internacional.",No,Renovación,Aprobado,N.A.,8/3/2011,Rodrigo Malmierca Díaz,Ministros MINCEX,N.A.,99 de 2011,5/4/2011,GOC-2011-O-6,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_006_2011.pdf,https://drive.google.com/file/d/1fPrZCPmZFm9z9aLLpuUaA8gFuijTUMT4/view?usp=sharing
1094,ACCESORIOS VILLA S.L.,"ACCESORIOS VILLA, S.L.",ACCESORIOS VILLA S.L.,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el documento Anexo, que forma parte integrante de la presente Resolución.",Sí,Inscripción,Aprobado,N.A.,8/6/2017,Rodrigo Malmierca Díaz,Ministros MINCEX,GOC-2017-707-O34,174/2017,15/11/2017,GOC-2017-O-34,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-o34.pdf,https://drive.google.com/file/d/1lX7oCJR9Z0Rdw0dXQ3de7EU_5nIE2KxC/view?usp=sharing
1128,ACCESORIOS VILLA S.L.,"ACCESORIOS VILLA, S.L.",ACCESORIOS VILLA S.L.,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el Anexo No. 1, que forma parte integrante de la presente Resolución.",Sí,Inscripción,Aprobado,N.A.,3/8/2017,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-822-O42,226/2017,4/12/2017,GOC-2017-O-42,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-o42.pdf,https://drive.google.com/file/d/1SATbzWYr_5B-UxiH0qqswmthueZ1WFLw/view?usp=sharing
566,ACEMEX MANAGEMENT COMPANY LIMITED,ACEMEX MANAGEMENT COMPANY LIMITED,ACEMEX MANAGEMENT COMPANY LIMITED,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Liechtenstein,,,Sí,Realización de actividades relacionadas con la administración de compañías dedicadas a negocios marítimos y financieros.,No,Renovación,Aprobado,N.A.,2/12/2019,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2019-1103-O101,323 de 2019,23/12/2019,GOC-2019-O-101,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2019-o101.pdf,https://drive.google.com/file/d/1Atcyu_POrUxIIfzhqt0euq_XVHqpYlH4/view?usp=sharing
960,ACEMEX MANAGEMENT COMPANY LIMITED,ACEMEX MANAGEMENT COMPANY LIMITED,ACEMEX MANAGEMENT COMPANY LIMITED,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Liechtenstein,,,Sí,Realización de actividades relacionadas con la administración de compañías dedicadas a negocios marítimos y financieros.,No,Renovación,Aprobado,N.A.,16/12/2016,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2017-185-O10,368/2016,3/3/2017,GOC-2017-O-10,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2017-o10.pdf,https://drive.google.com/file/d/17a92vc3OaSTFvtLR7rKBoHCJYBqCinul/view?usp=sharing
1987,ACEMEX MANAGEMENT COMPANY LIMITED,ACEMEX MANAGEMENT COMPANY LIMITED,ACEMEX MANAGEMENT COMPANY LIMITED,,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,Liechtenstein,,,Sí,Realización de actividades relacionadas con la administración de compañías dedicadas a negocios marítimos y financieros.,No,Renovación,Aprobado,N.A.,6/12/2013,Rodrigo Malmierca Díaz,Ministro MINCEX,N.A.,623 de 2013,24/12/2013,GOC-2013-O-66,https://www.gacetaoficial.gob.cu/sites/default/files/go_o_066_2013.pdf,https://drive.google.com/file/d/1btmdZ9ztkB1Gy3RxMveNzGiAC_FPsikn/view?usp=sharing
624,"ACEROS LST BILBAO, S.L.","ACEROS LST BILBAO, S.L.","ACEROS LST BILBAO, S.L.",,,,Sucursal de compañía,Respuesta a solicitud de inscripción,,España,,,Sí,"Realización de actividades comerciales relacionadas con las mercancías que, a nivel de capítulos, se describen en el documento Anexo, que forma parte integrante de la presente Resolución.",Sí,Inscripción,Aprobado,N.A.,27/9/2017,Rodrigo Malmierca Díaz,Ministro MINCEX,GOC-2018-82-O5,264/2017,7/3/2018,GOC-2018-O-5,https://www.gacetaoficial.gob.cu/sites/default/files/goc-2018-o5_0.rar,https://drive.google.com/file/d/1nuZzrrfoy20EcR_YNOZ8lc-BPb_Yxmvq/view?usp=sharing
